mode,checkpoint,device,fps,psnr,mae,lpips,twe,notes,metadata
Image,/Users/macos/neural-style-video/starrynight/backend/models/starry/starry80.pth,cpu,3.572157763136515,9.823965115036481,65.37753295898438,0.7125294804573059,,Style: starry-night,"{""available_styles"": [{""available"": true, ""id"": ""starry-night"", ""is_default"": true, ""label"": ""Van Gogh - Starry Night"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/starry/starry80.pth""}, {""available"": true, ""id"": ""bayanihan"", ""is_default"": false, ""label"": ""Bayanihan"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/bayanihan100.pth""}, {""available"": true, ""id"": ""udnie"", ""is_default"": false, ""label"": ""Francis Picabia - Udnie"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/udnie_aggressive.pth""}, {""available"": true, ""id"": ""mosaic"", ""is_default"": false, ""label"": ""Gaudi - Mosaic"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/mosiac/mosaic_light.pth""}, {""available"": true, ""id"": ""wave"", ""is_default"": false, ""label"": ""Hokusai - Great Wave"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/wave/wave100.pth""}, {""available"": true, ""id"": ""lazy"", ""is_default"": false, ""label"": ""Lazy Sunday"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/lazy/lazy250.pth""}, {""available"": true, ""id"": ""tokyo-ghoul"", ""is_default"": false, ""label"": ""Tokyo Ghoul"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/tokyo_ghoul/tokyo_ghoul_light.pth""}], ""checkpoint_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/starry/starry80.pth"", ""device"": ""cpu"", ""fps"": 3.572157763136515, ""image_shape_bgr"": [300, 400, 3], ""input_path"": ""/Users/macos/neural-style-video/starrynight/frontend/public/home/styled1.jpg"", ""lpips"": 0.7125294804573059, ""lpips_available"": true, ""mae_to_input"": 65.37753295898438, ""mode"": ""image"", ""psnr_to_input"": 9.823965115036481}"
Image,/Users/macos/neural-style-video/starrynight/backend/models/mosiac/mosaic_light.pth,cpu,3.0660252285484955,17.263219748379118,28.252155303955078,0.4449012577533722,,Style: mosaic,"{""available_styles"": [{""available"": true, ""id"": ""starry-night"", ""is_default"": true, ""label"": ""Van Gogh - Starry Night"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/starry/starry80.pth""}, {""available"": true, ""id"": ""bayanihan"", ""is_default"": false, ""label"": ""Bayanihan"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/bayanihan100.pth""}, {""available"": true, ""id"": ""udnie"", ""is_default"": false, ""label"": ""Francis Picabia - Udnie"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/udnie_aggressive.pth""}, {""available"": true, ""id"": ""mosaic"", ""is_default"": false, ""label"": ""Gaudi - Mosaic"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/mosiac/mosaic_light.pth""}, {""available"": true, ""id"": ""wave"", ""is_default"": false, ""label"": ""Hokusai - Great Wave"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/wave/wave100.pth""}, {""available"": true, ""id"": ""lazy"", ""is_default"": false, ""label"": ""Lazy Sunday"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/lazy/lazy250.pth""}, {""available"": true, ""id"": ""tokyo-ghoul"", ""is_default"": false, ""label"": ""Tokyo Ghoul"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/tokyo_ghoul/tokyo_ghoul_light.pth""}], ""checkpoint_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/mosiac/mosaic_light.pth"", ""device"": ""cpu"", ""fps"": 3.0660252285484955, ""image_shape_bgr"": [300, 400, 3], ""input_path"": ""/Users/macos/neural-style-video/starrynight/frontend/public/home/styled1.jpg"", ""lpips"": 0.4449012577533722, ""lpips_available"": true, ""mae_to_input"": 28.252155303955078, ""mode"": ""image"", ""psnr_to_input"": 17.263219748379118}"
Image,/Users/macos/neural-style-video/starrynight/backend/models/wave/wave100.pth,cpu,3.3347945729504596,13.013238616360976,44.71494674682617,0.5681939125061035,,Style: wave,"{""available_styles"": [{""available"": true, ""id"": ""starry-night"", ""is_default"": true, ""label"": ""Van Gogh - Starry Night"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/starry/starry80.pth""}, {""available"": true, ""id"": ""bayanihan"", ""is_default"": false, ""label"": ""Bayanihan"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/bayanihan100.pth""}, {""available"": true, ""id"": ""udnie"", ""is_default"": false, ""label"": ""Francis Picabia - Udnie"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/udnie_aggressive.pth""}, {""available"": true, ""id"": ""mosaic"", ""is_default"": false, ""label"": ""Gaudi - Mosaic"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/mosiac/mosaic_light.pth""}, {""available"": true, ""id"": ""wave"", ""is_default"": false, ""label"": ""Hokusai - Great Wave"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/wave/wave100.pth""}, {""available"": true, ""id"": ""lazy"", ""is_default"": false, ""label"": ""Lazy Sunday"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/lazy/lazy250.pth""}, {""available"": true, ""id"": ""tokyo-ghoul"", ""is_default"": false, ""label"": ""Tokyo Ghoul"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/tokyo_ghoul/tokyo_ghoul_light.pth""}], ""checkpoint_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/wave/wave100.pth"", ""device"": ""cpu"", ""fps"": 3.3347945729504596, ""image_shape_bgr"": [300, 400, 3], ""input_path"": ""/Users/macos/neural-style-video/starrynight/frontend/public/home/styled1.jpg"", ""lpips"": 0.5681939125061035, ""lpips_available"": true, ""mae_to_input"": 44.71494674682617, ""mode"": ""image"", ""psnr_to_input"": 13.013238616360976}"
Image,/Users/macos/neural-style-video/starrynight/backend/models/udnie_aggressive.pth,cpu,1.935888615168117,16.835566229205426,28.832679748535156,0.4229816496372223,,Style: udnie,"{""available_styles"": [{""available"": true, ""id"": ""starry-night"", ""is_default"": true, ""label"": ""Van Gogh - Starry Night"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/starry/starry80.pth""}, {""available"": true, ""id"": ""bayanihan"", ""is_default"": false, ""label"": ""Bayanihan"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/bayanihan100.pth""}, {""available"": true, ""id"": ""udnie"", ""is_default"": false, ""label"": ""Francis Picabia - Udnie"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/udnie_aggressive.pth""}, {""available"": true, ""id"": ""mosaic"", ""is_default"": false, ""label"": ""Gaudi - Mosaic"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/mosiac/mosaic_light.pth""}, {""available"": true, ""id"": ""wave"", ""is_default"": false, ""label"": ""Hokusai - Great Wave"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/wave/wave100.pth""}, {""available"": true, ""id"": ""lazy"", ""is_default"": false, ""label"": ""Lazy Sunday"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/lazy/lazy250.pth""}, {""available"": true, ""id"": ""tokyo-ghoul"", ""is_default"": false, ""label"": ""Tokyo Ghoul"", ""model_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/tokyo_ghoul/tokyo_ghoul_light.pth""}], ""checkpoint_path"": ""/Users/macos/neural-style-video/starrynight/backend/models/udnie_aggressive.pth"", ""device"": ""cpu"", ""fps"": 1.935888615168117, ""image_shape_bgr"": [300, 400, 3], ""input_path"": ""/Users/macos/neural-style-video/starrynight/frontend/public/home/styled1.jpg"", ""lpips"": 0.4229816496372223, ""lpips_available"": true, ""mae_to_input"": 28.832679748535156, ""mode"": ""image"", ""psnr_to_input"": 16.835566229205426}"
